Epoch 111: train_loss: 27.08; val_loss: 39.1522.
Epoch 112: train_loss: 27.06; val_loss: 39.3935.
Epoch 113: train_loss: 26.92; val_loss: 39.6392.
Epoch 114: train_loss: 26.82; val_loss: 39.3460.
Epoch 115: train_loss: 26.73; val_loss: 39.2334.
Epoch 116: train_loss: 26.56; val_loss: 39.3170.
Epoch 117: train_loss: 26.58; val_loss: 39.3043.
Epoch 118: train_loss: 26.33; val_loss: 39.2087.
Epoch 119: train_loss: 26.19; val_loss: 39.6278.
Epoch 120: train_loss: 26.17; val_loss: 39.7929.
Epoch 121: train_loss: 26.16; val_loss: 39.9691.
Epoch 122: train_loss: 25.98; val_loss: 40.1664.
Epoch 123: train_loss: 25.89; val_loss: 39.7526.
Epoch 124: train_loss: 25.85; val_loss: 40.1709.
Epoch 125: train_loss: 25.69; val_loss: 39.5846.
Epoch 126: train_loss: 25.70; val_loss: 39.6423.
Epoch 127: train_loss: 25.52; val_loss: 39.9088.
Epoch 128: train_loss: 25.44; val_loss: 40.3090.
Epoch 129: train_loss: 25.41; val_loss: 39.8654.
Epoch 130: train_loss: 25.27; val_loss: 39.7470.
Epoch 131: train_loss: 25.20; val_loss: 40.1506.
Epoch 132: train_loss: 25.17; val_loss: 39.9884.
Epoch 133: train_loss: 25.09; val_loss: 39.8330.
Epoch 134: train_loss: 25.06; val_loss: 40.0809.
Epoch 135: train_loss: 24.87; val_loss: 39.7250.
Epoch 136: train_loss: 24.74; val_loss: 40.0457.
Epoch 137: train_loss: 24.79; val_loss: 40.3116.
Epoch 138: train_loss: 24.70; val_loss: 40.2951.
Epoch 139: train_loss: 24.74; val_loss: 40.2842.
Epoch 140: train_loss: 24.61; val_loss: 40.2471.
Epoch 141: train_loss: 24.54; val_loss: 40.2848.
Epoch 142: train_loss: 24.48; val_loss: 39.9247.
Epoch 143: train_loss: 24.33; val_loss: 40.5349.
Epoch 144: train_loss: 24.28; val_loss: 40.0432.
Epoch 145: train_loss: 24.32; val_loss: 40.2632.
Epoch 146: train_loss: 24.27; val_loss: 40.2346.
Epoch 147: train_loss: 24.15; val_loss: 40.7056.
Epoch 148: train_loss: 24.10; val_loss: 40.4202.
Epoch 149: train_loss: 23.98; val_loss: 40.3314.
Epoch 150: train_loss: 23.88; val_loss: 40.4573.
