Epoch 111: train_loss: 27.66; val_loss: 46.5789.
Epoch 112: train_loss: 27.54; val_loss: 46.6538.
Epoch 113: train_loss: 27.42; val_loss: 46.9680.
Epoch 114: train_loss: 27.33; val_loss: 46.2354.
Epoch 115: train_loss: 27.21; val_loss: 46.4738.
Epoch 116: train_loss: 27.05; val_loss: 46.4897.
Epoch 117: train_loss: 26.92; val_loss: 46.5084.
Epoch 118: train_loss: 26.87; val_loss: 45.9485.
Epoch 119: train_loss: 26.76; val_loss: 45.7307.
Epoch 120: train_loss: 26.64; val_loss: 46.5730.
Epoch 121: train_loss: 26.59; val_loss: 47.3689.
Epoch 122: train_loss: 26.48; val_loss: 46.8020.
Epoch 123: train_loss: 26.38; val_loss: 46.5562.
Epoch 124: train_loss: 26.28; val_loss: 47.0761.
Epoch 125: train_loss: 26.22; val_loss: 47.2697.
Epoch 126: train_loss: 26.07; val_loss: 46.7568.
Epoch 127: train_loss: 26.02; val_loss: 47.0301.
Epoch 128: train_loss: 25.89; val_loss: 47.1649.
Epoch 129: train_loss: 25.82; val_loss: 47.6020.
Epoch 130: train_loss: 25.76; val_loss: 47.0860.
Epoch 131: train_loss: 25.63; val_loss: 48.3860.
Epoch 132: train_loss: 25.58; val_loss: 47.1116.
Epoch 133: train_loss: 25.51; val_loss: 46.9058.
Epoch 134: train_loss: 25.36; val_loss: 47.3332.
Epoch 135: train_loss: 25.32; val_loss: 47.0447.
Epoch 136: train_loss: 25.20; val_loss: 47.5474.
Epoch 137: train_loss: 25.18; val_loss: 47.4277.
Epoch 138: train_loss: 25.06; val_loss: 47.3786.
Epoch 139: train_loss: 25.02; val_loss: 47.3539.
Epoch 140: train_loss: 24.95; val_loss: 47.3229.
Epoch 141: train_loss: 24.87; val_loss: 47.8449.
Epoch 142: train_loss: 24.74; val_loss: 47.3699.
Epoch 143: train_loss: 24.68; val_loss: 48.1416.
Epoch 144: train_loss: 24.61; val_loss: 47.6286.
Epoch 145: train_loss: 24.54; val_loss: 49.1953.
Epoch 146: train_loss: 24.51; val_loss: 47.5841.
Epoch 147: train_loss: 24.42; val_loss: 47.7962.
Epoch 148: train_loss: 24.34; val_loss: 48.8950.
Epoch 149: train_loss: 24.28; val_loss: 48.1276.
Epoch 150: train_loss: 24.19; val_loss: 48.8411.
