Epoch 111: train_loss: 28.98; val_loss: 45.4817.
Epoch 112: train_loss: 28.78; val_loss: 45.1856.
Epoch 113: train_loss: 28.70; val_loss: 45.2985.
Epoch 114: train_loss: 28.51; val_loss: 44.9447.
Epoch 115: train_loss: 28.46; val_loss: 45.4212.
Epoch 116: train_loss: 28.32; val_loss: 44.9446.
Epoch 117: train_loss: 28.23; val_loss: 45.0896.
Epoch 118: train_loss: 28.10; val_loss: 45.0916.
Epoch 119: train_loss: 27.98; val_loss: 45.3335.
Epoch 120: train_loss: 27.84; val_loss: 45.4709.
Epoch 121: train_loss: 27.72; val_loss: 45.6421.
Epoch 122: train_loss: 27.70; val_loss: 45.3742.
Epoch 123: train_loss: 27.48; val_loss: 46.4860.
Epoch 124: train_loss: 27.43; val_loss: 45.2844.
Epoch 125: train_loss: 27.33; val_loss: 45.2523.
Epoch 126: train_loss: 27.22; val_loss: 45.6118.
Epoch 127: train_loss: 27.18; val_loss: 45.7429.
Epoch 128: train_loss: 27.03; val_loss: 45.3908.
Epoch 129: train_loss: 26.90; val_loss: 46.1019.
Epoch 130: train_loss: 26.82; val_loss: 45.4213.
Epoch 131: train_loss: 26.76; val_loss: 45.6665.
Epoch 132: train_loss: 26.61; val_loss: 46.2621.
Epoch 133: train_loss: 26.52; val_loss: 46.3330.
Epoch 134: train_loss: 26.51; val_loss: 46.9353.
Epoch 135: train_loss: 26.36; val_loss: 45.7997.
Epoch 136: train_loss: 26.31; val_loss: 45.5897.
Epoch 137: train_loss: 26.19; val_loss: 47.1601.
Epoch 138: train_loss: 26.15; val_loss: 45.6485.
Epoch 139: train_loss: 26.03; val_loss: 46.1360.
Epoch 140: train_loss: 25.98; val_loss: 46.6372.
Epoch 141: train_loss: 25.87; val_loss: 47.5287.
Epoch 142: train_loss: 25.77; val_loss: 46.2308.
Epoch 143: train_loss: 25.73; val_loss: 46.3482.
Epoch 144: train_loss: 25.65; val_loss: 46.6547.
Epoch 145: train_loss: 25.55; val_loss: 46.5402.
Epoch 146: train_loss: 25.51; val_loss: 46.5607.
Epoch 147: train_loss: 25.41; val_loss: 46.6435.
Epoch 148: train_loss: 25.33; val_loss: 46.8043.
Epoch 149: train_loss: 25.33; val_loss: 46.3586.
Epoch 150: train_loss: 25.19; val_loss: 46.3848.
